companyId,sectorName,companyName,companySymbol,pricePercentChange,shareNo,marketValue,growthPercent,assetPercent,isListed,fiscal_year,month,fiscalId,fiscalYear,monthName,monthId
13,Commercial Banks,Global IME Bank Limited,GBIME,0.68,83000.0,19754000.0,0.0,,True,32,1,,,Baisakh,1
50,Commercial Banks,Standard Chartered Bank Limited,SCB,0.49,60000.0,39060000.0,0.0,,True,32,1,,,Baisakh,1
44,Commercial Banks,Prime Commercial Bank Limited,PCBL,0.63,20000.0,4910000.0,0.0,,True,32,1,,,Baisakh,1
11,Commercial Banks,Everest Bank Limited,EBL,0.03,62448.0,43588704.0,0.0,,True,32,1,,,Baisakh,1
27,Commercial Banks,Nabil Bank Limited,NABIL,0.4,23500.0,12455000.0,9.3,,True,32,1,,,Baisakh,1
46,Commercial Banks,Sanima Bank Limited,SANIMA,0.91,90000.0,31500000.0,12.5,,True,32,1,,,Baisakh,1
62,Development Banks,Garima Bikas Bank Limited,GBBL,0.48,65000.0,26838500.0,0.0,,True,32,1,,,Baisakh,1
1095,Development Banks,Salapa Bikas Bank Limited,SABBL,2.17,1769.0,2848090.0,0.0,,True,32,1,,,Baisakh,1
70,Development Banks,Kamana Sewa Bikas Bank Limited,KSBBL,-0.39,12664.0,6144573.0,80.91,,True,32,1,,,Baisakh,1
611,Hydro Power,Mountain Energy Nepal Limited,MEN,-0.33,15288.0,9157512.0,27.4,,True,32,1,,,Baisakh,1
169,Hydro Power,Ngadi Group Power Ltd.,NGPL,1.01,10100.0,4734880.0,1136.23,,True,32,1,,,Baisakh,1
176,Hydro Power,Sanima Mai Hydropower Ltd.,SHPC,0.13,25000.0,13222500.0,108.33,,True,32,1,,,Baisakh,1
1023,Hydro Power,Suryakunda Hydro Electric Limited,SKHEL,1.91,417.0,371630.0,,,True,32,1,,,Baisakh,1
1004,Hydro Power,Ridge Line Energy Limited,RLEL,2.79,861.0,810201.0,,,True,32,1,,,Baisakh,1
1016,Hydro Power,Super Khudi Hydropower Limited,SKHL,6.74,938.0,1068007.0,,,True,32,1,,,Baisakh,1
938,Hydro Power,Shikhar Power Development Limited,SIPD,2.0,1276.0,438816.0,,,True,32,1,,,Baisakh,1
995,Hydro Power,Bhujung Hydropower Limited,BJHL,3.03,973.0,1206520.0,,,True,32,1,,,Baisakh,1
1001,Hydro Power,Solu Hydropower Limited,SOHL,0.44,10263.0,7718802.0,,,True,32,1,,,Baisakh,1
178,Hydro Power,Synergy Power Development Ltd.,SPDL,-0.15,1899.0,807075.0,111.23,,True,32,1,,,Baisakh,1
856,Hydro Power,Makar Jitumaya Suri Hydropower Limited,MAKAR,1.94,36009.0,19160389.0,0.0,,True,32,1,,,Baisakh,1
180,Hydro Power,United Modi Hydropower Ltd.,UMHL,-0.35,40000.0,25560000.0,-37.5,,True,32,1,,,Baisakh,1
760,Hydro Power,Sahas Urja Ltd.,SAHAS,0.76,40000.0,24940000.0,-33.33,,True,32,1,,,Baisakh,1
826,Non Life Insurance,Himalayan Everest Insurance Limited,HEI,0.77,45000.0,23535000.0,0.0,,True,32,1,,,Baisakh,1
873,Non Life Insurance,Sagarmatha Lumbini Insurance Company Limited,SALICO,0.68,71667.0,43501869.0,2.14,,True,32,1,,,Baisakh,1
876,Non Life Insurance,Siddhartha Premier Insurance Company Limited,SPIL,1.26,46000.0,34684000.0,2.22,,True,32,1,,,Baisakh,1
249,Life Insurance,National Life Insurance Co. Ltd.,NLICL,0.2,50651.0,30086694.0,-9.55,,True,32,1,,,Baisakh,1
846,Life Insurance,Suryajyoti Life Insurance Company Limited,SJLIC,-0.46,54000.0,24030000.0,8.0,,True,32,1,,,Baisakh,1
242,Manufacturing and Processing,Unilever Nepal Limited,UNL,0.92,225.0,10507500.0,0.0,,True,32,1,,,Baisakh,1
238,Manufacturing and Processing,Himalayan Distillery Limited,HDL,0.59,8495.0,9921311.0,,,True,32,1,,,Baisakh,1
1040,Manufacturing and Processing,Palpa Cement Industries Limited,PCIL,1.85,3234.0,1173942.0,,,True,32,1,,,Baisakh,1
